Tracking Domain,Consent Category,Vendor Name,Tracker Type,Tracker Name,Tracker Purpose,Tracker Purpose (Source),Vendor Description,Tracker Duration
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,li_cm_prefs_session,store and manage user preferences and settings throughout a browsing session,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,mbox,"This cookie is used to collect non-personal information on the visitor's behavior and non-personal visitor statistics, which can be used by a third-party ad-targeting agency.",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,mboxEdgeCluster,Enabling visitors to access the same edge server across the entire session,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,notice_behavior,This is a functionality cookie used to store a visitorï¿½s cookie preferences,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,s_campaign, Campaign tracking identifier used in marketing analytics.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,s_cc,Used to check if the user's browser supports cookies.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,s_cm,"track website and app performance, user behavior, and marketing effectiveness",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,s_cm_direct,most common use is Direct Traffic Tracking,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,s_eVar42, An Adobe Analytics variable used for custom tracking purposes.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,s_eVar44,to collect and analyze custom data points beyond the standard metrics provided by Adobe Analytics,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,s_gnr,User to see how many visitors are returning.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,s_nrpv,for tracking page views on a website or application,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,s_pv,This cookie records the user's navigation sequence on the website.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,s_tid,used to uniquely identify a visitor or session within the context of tracking data sent to Adobe's servers,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,s_ugv,to track unique visitors across different visits or sessions on a website or application,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,s_vtime,used to track the duration of a visitor's session on a website or application,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,TAsessionID,These cookies names are associated with TrustArc. The data is used to collect and record consent decisions.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,test,This cookie is set by DoubleClick (owned by Google) to determine if the website visitorï¿½s browser supports cookies.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,TEST_AMCV_COOKIE,Registers statistical data on users' behaviour on the website. Used for internal analytics by the website operator.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,TEST_AMCV_COOKIE_WRITE,Determines whether the user has accepted the cookie consent box.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,zScalerUser,user authentication or identification parameter associated with the Zscaler security platform,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
subscription.CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,_pin_unauth,These cookie collect information about how visitors interact with the pages on the website.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
subscription.CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,TAsessionID,These cookies names are associated with TrustArc. The data is used to collect and record consent decisions.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.lighting.CLIENT_X.cz,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),Local Storage,blank (local storage),"The cookie enables the display and interactive presentation of user-generated content, fostering transparency, trust, and an enhanced user experience on the website.",FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.lighting.CLIENT_X.cz,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),JavaScript,blank (java),Javascript is used to download functionality from the vendor on the browser.,FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.lighting.CLIENT_X.cz,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),ETag,blank (etag),Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.lighting.CLIENT_X.cz,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,AWSELB,To provide load balancing functionality.,FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",0
www.lighting.CLIENT_X.cz,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,AWSELBCORS,"Registers which server-cluster is serving the visitor. This is used in context with load balancing, in order to optimize user experience.",FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",0
www.lighting.CLIENT_X.cz,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,customer_country,to capture and track the country associated with a website visitor or customer,TrustArc,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.lighting.CLIENT_X.cz,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,customer_language_accept,to capture and track the language associated with a website visitor or customer,TrustArc,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.lighting.CLIENT_X.cz,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,d01-layout,store information about a user's preferred layout or display settings on a website. ,FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.lighting.CLIENT_X.cz,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,CLIENT_X, Associated with the CLIENT_X online services to track website visits.,FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.lighting.CLIENT_X.cz,Essential cookies (exempt from consent),Signify (formerly CLIENT_X Lighting),HTTP Cookie,s_mc,used to track a custom metric or measurement in Adobe Analytics,FR Original File,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
www.CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,Local Storage,blank (local storage),"The cookie enables the display and interactive presentation of user-generated content, fostering transparency, trust, and an enhanced user experience on the website.",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,Beacon,blank (beacon),This beacon is intended to track web usage and send collected information to the vendor.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,JavaScript,blank (java),Javascript is used to download functionality from the vendor on the browser.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,ETag,blank (etag),Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,_sdsat_pgm_optin,"used to capture data about users who have opted into certain features, services, or communications on the website",FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
www.CLIENT_X.cz,Essential cookies (exempt from consent),CLIENT_X - Czech Republic,HTTP Cookie,_sdsat_pgm_sh_alloc, An allocation identifier used by the Adobe Dynamic Tag Management system (_sdsat).,FR Original File,"""CLIENT_X is a Dutch diversified technology company focused on improving people's lives through major innovations in the areas of health care, consumer lifestyle and lighting. The company has specialized in heart care, intensive care and home health care; In energy-efficient lighting solutions and new lighting applications, as well as in shavers, personal care and oral health.
<br><a href=https://www.CLIENT_X.co.uk/a-w/terms-of-use.html target=_blank aria-label=""""CLIENT_X - United Kingdom Terms and Conditions"""">Terms and Conditions</a>
<br><a href=https://www.CLIENT_X.co.uk/a-w/privacy-notice.html target=_blank aria-label=""""CLIENT_X - United Kingdom Data Subject Rights"""">Data Subject Rights</a>
<br>""",
